time	V(vdrain)	V(vgate)	Id(M1)
4.485428526854445e-08	4.692415e+01	4.840842e+00	1.043552e+00
4.585428526856020e-08	4.659010e+01	4.843355e+00	1.042873e+00
4.685428526857594e-08	4.625449e+01	4.844522e+00	1.042100e+00
4.785428526859169e-08	4.591830e+01	4.845358e+00	1.041374e+00
4.885428526860743e-08	4.558181e+01	4.846219e+00	1.040702e+00
4.985428526862318e-08	4.524500e+01	4.847107e+00	1.040094e+00
5.085428526863892e-08	4.490789e+01	4.847987e+00	1.039524e+00
5.185428526865467e-08	4.457050e+01	4.848843e+00	1.039000e+00
5.285428526867041e-08	4.423286e+01	4.849674e+00	1.038504e+00
5.385428526868616e-08	4.389502e+01	4.850484e+00	1.038046e+00
5.485428526870190e-08	4.355701e+01	4.851275e+00	1.037609e+00
5.585428526871765e-08	4.321886e+01	4.852051e+00	1.037204e+00
5.685428526873339e-08	4.288060e+01	4.852814e+00	1.036816e+00
5.785428526874914e-08	4.254226e+01	4.853564e+00	1.036453e+00
5.885428526876488e-08	4.220385e+01	4.854304e+00	1.036106e+00
5.985428526878063e-08	4.186540e+01	4.855036e+00	1.035781e+00
6.085428526879638e-08	4.152693e+01	4.855760e+00	1.035467e+00
6.185428526881212e-08	4.118845e+01	4.856477e+00	1.035173e+00
6.285428526882787e-08	4.084998e+01	4.857189e+00	1.034889e+00
6.385428526884361e-08	4.051152e+01	4.857897e+00	1.034622e+00
6.485428526885936e-08	4.017310e+01	4.858601e+00	1.034364e+00
6.585428526887510e-08	3.983473e+01	4.859302e+00	1.034120e+00
6.685428526889085e-08	3.949641e+01	4.860001e+00	1.033885e+00
6.785428526890659e-08	3.915816e+01	4.860699e+00	1.033662e+00
6.885428526892234e-08	3.881998e+01	4.861395e+00	1.033446e+00
6.985428526893808e-08	3.848188e+01	4.862092e+00	1.033242e+00
7.085428526895383e-08	3.814388e+01	4.862788e+00	1.033044e+00
7.185428526896957e-08	3.780597e+01	4.863485e+00	1.032856e+00
7.285428526898532e-08	3.746816e+01	4.864182e+00	1.032674e+00
7.385428526900106e-08	3.713047e+01	4.864881e+00	1.032502e+00
7.485428526901681e-08	3.679289e+01	4.865581e+00	1.032334e+00
7.585428526903255e-08	3.645544e+01	4.866282e+00	1.032176e+00
7.685428526904830e-08	3.611811e+01	4.866985e+00	1.032021e+00
7.785428526906404e-08	3.578091e+01	4.867690e+00	1.031875e+00
7.885428526907979e-08	3.544386e+01	4.868398e+00	1.031733e+00
7.985428526909553e-08	3.510694e+01	4.869107e+00	1.031599e+00
8.085428526911128e-08	3.477016e+01	4.869819e+00	1.031468e+00
8.185428526912703e-08	3.443355e+01	4.870533e+00	1.031345e+00
8.285428526914277e-08	3.409708e+01	4.871251e+00	1.031224e+00
8.385428526915852e-08	3.376078e+01	4.871971e+00	1.031111e+00
8.485428526917426e-08	3.342464e+01	4.872694e+00	1.031000e+00
8.585428526919001e-08	3.308868e+01	4.873420e+00	1.030896e+00
8.685428526920575e-08	3.275288e+01	4.874148e+00	1.030795e+00
8.785428526922150e-08	3.241726e+01	4.874881e+00	1.030699e+00
8.985428526925299e-08	3.174657e+01	4.876354e+00	1.030519e+00
9.185428526928448e-08	3.107664e+01	4.877841e+00	1.030355e+00
9.385428526931597e-08	3.040751e+01	4.879341e+00	1.030206e+00
9.585428526934746e-08	2.973922e+01	4.880854e+00	1.030071e+00
9.885428526939469e-08	2.873844e+01	4.883150e+00	1.029893e+00
1.018542852694419e-07	2.773977e+01	4.885477e+00	1.029746e+00
1.048542852694892e-07	2.674337e+01	4.887836e+00	1.029624e+00
1.071399995552394e-07	2.598557e+01	4.889655e+00	1.029550e+00
1.094257138409897e-07	2.522954e+01	4.891492e+00	1.029488e+00
1.117114281267400e-07	2.447528e+01	4.893348e+00	1.029439e+00
1.139971424124903e-07	2.372279e+01	4.895223e+00	1.029403e+00
1.162828566982405e-07	2.297206e+01	4.897116e+00	1.029379e+00
1.185685709839908e-07	2.222311e+01	4.899028e+00	1.029368e+00
1.208542852697411e-07	2.147593e+01	4.900958e+00	1.029370e+00
1.242828566983665e-07	2.035724e+01	4.903896e+00	1.029396e+00
1.277114281269919e-07	1.924663e+01	4.906866e+00	1.029440e+00
1.311399995556173e-07	1.814407e+01	4.909869e+00	1.029503e+00
1.345685709842427e-07	1.704959e+01	4.912904e+00	1.029583e+00
1.379971424128682e-07	1.596316e+01	4.915972e+00	1.029682e+00
1.414257138414936e-07	1.488481e+01	4.919072e+00	1.029799e+00
1.448542852701190e-07	1.381452e+01	4.922204e+00	1.029933e+00
1.465685709844317e-07	1.328469e+01	4.923777e+00	1.030004e+00
1.482828566987444e-07	1.275981e+01	4.925342e+00	1.030073e+00
1.499971424130571e-07	1.223990e+01	4.926899e+00	1.030142e+00
1.517114281273698e-07	1.172494e+01	4.928447e+00	1.030210e+00
1.534257138416825e-07	1.121495e+01	4.929987e+00	1.030277e+00
1.551399995559952e-07	1.070992e+01	4.931519e+00	1.030344e+00
1.568542852703079e-07	1.020984e+01	4.933043e+00	1.030409e+00
1.588542852703394e-07	9.637499e+00	4.934775e+00	1.030476e+00
1.608542852703709e-07	9.076850e+00	4.936455e+00	1.030531e+00
1.628542852704024e-07	8.529951e+00	4.938064e+00	1.030572e+00
1.638542852704181e-07	8.262430e+00	4.938834e+00	1.030585e+00
1.648542852704339e-07	7.999342e+00	4.939577e+00	1.030591e+00
1.658542852704496e-07	7.741097e+00	4.940288e+00	1.030592e+00
1.668542852704654e-07	7.488150e+00	4.940962e+00	1.030585e+00
1.678542852704811e-07	7.240996e+00	4.941595e+00	1.030569e+00
1.698542852705126e-07	6.766277e+00	4.942715e+00	1.030510e+00
1.718542852705441e-07	6.321685e+00	4.943605e+00	1.030409e+00
1.728542852705598e-07	6.112233e+00	4.943955e+00	1.030344e+00
1.738542852705756e-07	5.912108e+00	4.944241e+00	1.030270e+00
1.748542852705913e-07	5.721774e+00	4.944464e+00	1.030191e+00
1.758542852706071e-07	5.541530e+00	4.944633e+00	1.030110e+00
1.768542852706228e-07	5.371459e+00	4.944760e+00	1.030031e+00
1.778542852706386e-07	5.211383e+00	4.944859e+00	1.029961e+00
1.788542852706543e-07	5.060851e+00	4.944946e+00	1.029904e+00
1.798542852706701e-07	4.919165e+00	4.945038e+00	1.029865e+00
1.808542852706858e-07	4.785447e+00	4.945147e+00	1.029846e+00
1.818542852707015e-07	4.658732e+00	4.945281e+00	1.029849e+00
1.828542852707173e-07	4.538048e+00	4.945442e+00	1.029871e+00
1.838542852707330e-07	4.422483e+00	4.945632e+00	1.029912e+00
1.848542852707488e-07	4.311224e+00	4.945848e+00	1.029968e+00
