time	V(N001,Vo)	I(D1)	I(L1)
8.224396362548463e-06	6.019834e+00	3.304942e-01	3.304942e-01
8.224454416731282e-06	5.662194e+00	3.304956e-01	3.304956e-01
8.224512470914103e-06	5.316458e+00	3.304969e-01	3.304969e-01
8.224570525096922e-06	4.982625e+00	3.304981e-01	3.304981e-01
8.224628579279743e-06	4.660695e+00	3.304991e-01	3.304991e-01
8.225041409024244e-06	2.502511e+00	3.305056e-01	3.305056e-01
8.225144616460368e-06	2.029480e+00	3.305067e-01	3.305067e-01
8.225351031332618e-06	1.243487e+00	3.305077e-01	3.305077e-01
8.225763861077118e-06	2.220993e-01	3.305080e-01	3.305081e-01
8.226589520566117e-06	-5.357809e-01	3.305061e-01	3.305061e-01
8.227424912367793e-06	-7.003565e-01	3.305029e-01	3.305029e-01
8.230010696764322e-06	-7.450819e-01	3.304915e-01	3.304915e-01
8.232596481160851e-06	-7.808497e-01	3.304800e-01	3.304800e-01
8.235182265557380e-06	-8.076600e-01	3.304683e-01	3.304683e-01
8.237768049953910e-06	-8.255128e-01	3.304564e-01	3.304564e-01
8.240353834350439e-06	-8.344081e-01	3.304443e-01	3.304443e-01
8.242939618746969e-06	-8.343458e-01	3.304321e-01	3.304321e-01
8.245525403143498e-06	-8.253260e-01	3.304197e-01	3.304197e-01
8.303191451143196e-06	-8.522504e-01	3.301359e-01	3.301359e-01
8.360857499142896e-06	-8.727419e-01	3.298515e-01	3.298515e-01
8.418523547142595e-06	-8.868005e-01	3.295665e-01	3.295665e-01
8.476189595142293e-06	-8.944262e-01	3.292809e-01	3.292809e-01
8.533855643141993e-06	-8.956191e-01	3.289947e-01	3.289947e-01
8.591521691141692e-06	-8.903790e-01	3.287079e-01	3.287079e-01
8.649187739141390e-06	-8.787060e-01	3.284205e-01	3.284205e-01
1.027073234783548e-05	-8.879728e-01	3.203441e-01	3.203441e-01
1.189227695652957e-05	-8.968348e-01	3.122485e-01	3.122485e-01
1.351382156522365e-05	-9.052918e-01	3.041336e-01	3.041336e-01
1.513536617391774e-05	-9.133440e-01	2.959994e-01	2.959994e-01
