time	V(n003)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-09	0.000000e+00
1.000831528227932e-09	1.247292e-02
1.002494584683796e-09	3.741877e-02
1.005820697595524e-09	8.731046e-02
1.012472923418979e-09	1.870939e-01
1.025777375065891e-09	3.866606e-01
1.052215341644597e-09	7.832301e-01
1.105091274802011e-09	1.576369e+00
1.172288022807597e-09	2.584320e+00
1.243602259455462e-09	3.654034e+00
1.301924738812491e-09	4.528871e+00
1.348454368698415e-09	5.226816e+00
1.393288177537426e-09	5.899323e+00
1.445355579466014e-09	6.680334e+00
1.502521946901638e-09	7.537829e+00
1.579057339281077e-09	8.685860e+00
1.666019201132515e-09	9.990288e+00
1.774106263352892e-09	1.161159e+01
1.877251369429293e-09	1.315877e+01
2.000000000000000e-09	1.500000e+01
2.036824589171212e-09	1.500000e+01
2.085924041399495e-09	1.500000e+01
2.184122945856061e-09	1.500000e+01
2.380520754769192e-09	1.500000e+01
2.657866936209019e-09	1.500000e+01
3.020482359288965e-09	1.500000e+01
3.464285659188685e-09	1.500000e+01
3.918176327356151e-09	1.500000e+01
4.411888648266642e-09	1.500000e+01
4.854846847220558e-09	1.500000e+01
5.372157801648384e-09	1.500000e+01
6.227431746342107e-09	1.500000e+01
7.225766550537876e-09	1.500000e+01
8.544375570349480e-09	1.500000e+01
1.022495947198083e-08	1.500000e+01
1.178160473501547e-08	1.500000e+01
1.347161752493062e-08	1.500000e+01
1.515248592179896e-08	1.500000e+01
1.659758477912281e-08	1.500000e+01
1.782150285764507e-08	1.500000e+01
1.858892950115073e-08	1.500000e+01
1.932594342771918e-08	1.500000e+01
2.008798623536584e-08	1.500000e+01
2.098015875707851e-08	1.500000e+01
2.171954190596446e-08	1.500000e+01
2.249541530753544e-08	1.500000e+01
2.333368445242619e-08	1.500000e+01
2.412321846191011e-08	1.500000e+01
2.514863504834771e-08	1.500000e+01
2.681684529037804e-08	1.500000e+01
3.015326577443871e-08	1.500000e+01
3.418472574095097e-08	1.500000e+01
3.603713951676864e-08	1.500000e+01
3.743672031683343e-08	1.500000e+01
3.846670071811717e-08	1.500000e+01
3.943736440862213e-08	1.500000e+01
4.057444339201089e-08	1.500000e+01
4.185249994657790e-08	1.500000e+01
4.231475151172009e-08	1.500000e+01
4.250410296355896e-08	1.500000e+01
4.273706364204956e-08	1.500000e+01
4.283913380037879e-08	1.500000e+01
4.298679930373973e-08	1.500000e+01
4.312609597806681e-08	1.500000e+01
4.329094050469257e-08	1.500000e+01
4.344196222510132e-08	1.500000e+01
4.358901645875787e-08	1.500000e+01
4.380903642840689e-08	1.500000e+01
4.402742628611415e-08	1.500000e+01
4.446420600152867e-08	1.500000e+01
4.491641077542895e-08	1.500000e+01
4.582082032322952e-08	1.500000e+01
4.679248000592801e-08	1.500000e+01
4.873579937132499e-08	1.500000e+01
5.130649492158338e-08	1.500000e+01
5.644788602210015e-08	1.500000e+01
6.333284962568277e-08	1.500000e+01
6.980736423297559e-08	1.500000e+01
7.573250077806034e-08	1.500000e+01
8.206823866854870e-08	1.500000e+01
8.959732214181292e-08	1.500000e+01
1.004543831552263e-07	1.500000e+01
1.163645552704293e-07	1.500000e+01
1.348005688267686e-07	1.500000e+01
1.585510579044559e-07	1.500000e+01
1.672335907326199e-07	1.500000e+01
1.717704153398415e-07	1.500000e+01
1.730310176285818e-07	1.500000e+01
1.743416499001003e-07	1.500000e+01
1.751865925448211e-07	1.500000e+01
1.762844180493757e-07	1.500000e+01
1.780744436409080e-07	1.500000e+01
1.801307840378997e-07	1.500000e+01
1.823093484643440e-07	1.500000e+01
1.851312619995095e-07	1.500000e+01
1.881310939311891e-07	1.500000e+01
1.922790238161435e-07	1.500000e+01
1.967636767645857e-07	1.500000e+01
2.038082391350830e-07	1.500000e+01
2.125679399498388e-07	1.500000e+01
