time	I(D1)
1.712594377776749e-07	-8.608313e-04
1.732225509111428e-07	-3.921315e-04
1.750308863955097e-07	-1.715418e-04
1.756025095359932e-07	-1.567509e-04
1.766674789990892e-07	-1.241335e-04
1.781943716592566e-07	-8.899791e-05
1.796933074174355e-07	-7.041753e-05
1.822313359264849e-07	-4.704353e-05
1.847392553067101e-07	-3.476783e-05
1.881783889087511e-07	-2.359451e-05
1.915382825718606e-07	-1.797558e-05
1.964826265598445e-07	-1.199611e-05
2.011440555727140e-07	-9.304041e-06
2.082036022479744e-07	-5.920390e-06
2.167260396740954e-07	-4.488596e-06
2.302508675744246e-07	-2.512707e-06
2.481415172729854e-07	-1.770552e-06
2.773916470131230e-07	-8.666086e-07
3.079170853240460e-07	-5.591450e-07
3.454763076454795e-07	-3.180283e-07
3.800596943182945e-07	-2.589129e-07
4.308595009377307e-07	-9.450864e-08
4.872882524055563e-07	-8.840717e-08
5.659251545304054e-07	-3.925502e-09
6.543697168139753e-07	-1.514124e-08
7.820645259166047e-07	3.226309e-08
9.348290276055244e-07	1.428641e-08
1.166658564908966e-06	4.063957e-08
1.494079322679396e-06	2.210246e-08
2.115867719898775e-06	3.686574e-08
3.278088535130967e-06	2.836739e-08
5.231213535130967e-06	2.922025e-08
7.184338535130967e-06	3.445285e-08
7.848874999999997e-06	2.631165e-08
8.472927070261937e-06	1.011274e-07
8.715833437904479e-06	4.889444e-09
9.039708594761202e-06	-1.314551e-08
9.154249686286553e-06	-4.384977e-09
9.383331869337256e-06	-6.803461e-06
9.384331869337257e-06	-3.423328e-06
9.386331869337258e-06	1.715710e-06
9.390331869337260e-06	-8.114730e-07
9.398331869337264e-06	4.424170e-07
9.414331869337272e-06	-1.822288e-07
9.446331869337288e-06	1.294926e-07
9.510331869337320e-06	-2.627106e-08
9.638331869337383e-06	-6.500234e-06
9.639331869337384e-06	-3.278294e-06
9.641331869337385e-06	1.650459e-06
9.645331869337387e-06	-7.808169e-07
9.653331869337391e-06	4.270502e-07
9.669331869337399e-06	-1.749916e-07
9.701331869337415e-06	5.095690e-08
9.737999999999967e-06	6.203232e-06
9.738999999999967e-06	3.213548e-06
9.740999999999968e-06	-1.546481e-06
9.744999999999970e-06	8.060209e-07
9.752999999999974e-06	-3.636233e-07
9.768999999999982e-06	-5.754084e-06
9.769999999999983e-06	-3.068203e-06
9.771999999999984e-06	1.552612e-06
9.775999999999986e-06	-7.336105e-07
9.783999999999990e-06	-2.233265e-06
9.789999999999993e-06	2.785237e-08
9.793999999999995e-06	4.466099e-06
9.794999999999995e-06	2.997210e-06
9.796999999999996e-06	2.920647e-06
9.797999999999997e-06	2.939312e-06
9.799999999999998e-06	2.866242e-06
9.800999999999998e-06	6.076880e-08
9.801999999999999e-06	9.894174e-04
9.802099999999999e-06	3.389370e-04
9.802299999999999e-06	-1.013610e-07
9.802599999999998e-06	-6.205119e-07
9.802999999999999e-06	-2.443081e-05
9.803039999999999e-06	-9.004489e-06
9.803119999999999e-06	-3.856522e-07
9.803280000000000e-06	-1.745372e-07
9.803600000000000e-06	-2.152370e-07
9.804087683248999e-06	-4.738942e-07
9.804790791000246e-06	-1.324316e-06
9.805710633615616e-06	-5.003241e-06
9.806020189428912e-06	-8.927773e-06
9.806206226654664e-06	-1.070310e-05
9.806416871016914e-06	-9.199770e-06
9.806575445399058e-06	-7.025822e-06
9.806732580145347e-06	-5.041225e-06
9.806942601435518e-06	-2.849185e-06
9.807163203529109e-06	-1.286914e-06
9.807513623986271e-06	1.848537e-07
9.807845617981141e-06	8.222341e-07
9.808438238334083e-06	1.162528e-06
9.809085967834934e-06	1.167536e-06
9.810304683285975e-06	8.181796e-07
9.811351720285071e-06	-1.412184e-06
9.812235973505535e-06	-5.356952e-06
9.813315689223102e-06	-8.503112e-06
9.814307347564341e-06	-8.081805e-06
9.815292122743296e-06	-6.628895e-06
9.817056928269921e-06	-4.263247e-06
9.820087082977045e-06	-8.091345e-07
9.824049360933968e-06	2.430991e-06
9.828284512538056e-06	4.776153e-06
9.833849257399556e-06	7.050376e-06
9.839462990873417e-06	9.035449e-06
9.846815286828949e-06	1.163902e-05
