time	V(N001,Vo)
1.964826265598445e-07	8.991196e+00
2.011440555727140e-07	8.992218e+00
2.082036022479744e-07	8.993268e+00
2.167260396740954e-07	8.994105e+00
2.302508675744246e-07	8.994906e+00
2.481415172729854e-07	8.995476e+00
2.773916470131230e-07	8.995871e+00
3.079170853240460e-07	8.995958e+00
3.454763076454795e-07	8.995823e+00
3.800596943182945e-07	8.995573e+00
4.308595009377307e-07	8.995086e+00
4.872882524055563e-07	8.994458e+00
5.659251545304054e-07	8.993493e+00
6.543697168139753e-07	8.992342e+00
7.820645259166047e-07	8.990615e+00
9.348290276055244e-07	8.988495e+00
1.166658564908966e-06	8.985211e+00
1.494079322679396e-06	8.980464e+00
2.115867719898775e-06	8.971117e+00
3.278088535130967e-06	8.952584e+00
5.231213535130967e-06	8.918972e+00
7.184338535130967e-06	8.882901e+00
7.848874999999997e-06	8.869879e+00
8.472927070261937e-06	8.857204e+00
8.715833437904479e-06	8.852151e+00
9.039708594761202e-06	8.845339e+00
9.154249686286553e-06	8.842910e+00
9.383331869337256e-06	8.838020e+00
9.384331869337257e-06	8.837998e+00
9.386331869337258e-06	8.837956e+00
9.390331869337260e-06	8.837870e+00
9.398331869337264e-06	8.837698e+00
9.414331869337272e-06	8.837354e+00
9.446331869337288e-06	8.836666e+00
9.510331869337320e-06	8.835285e+00
9.638331869337383e-06	8.832518e+00
9.639331869337384e-06	8.832497e+00
9.641331869337385e-06	8.832454e+00
9.645331869337387e-06	8.832367e+00
9.653331869337391e-06	8.832194e+00
9.669331869337399e-06	8.831846e+00
9.701331869337415e-06	8.831151e+00
9.737999999999967e-06	8.830354e+00
9.738999999999967e-06	8.830332e+00
9.740999999999968e-06	8.830289e+00
9.744999999999970e-06	8.830202e+00
9.752999999999974e-06	8.830027e+00
9.768999999999982e-06	8.829679e+00
9.769999999999983e-06	8.829657e+00
9.771999999999984e-06	8.829614e+00
9.775999999999986e-06	8.829526e+00
9.783999999999990e-06	8.829352e+00
9.789999999999993e-06	8.829221e+00
9.793999999999995e-06	8.829134e+00
9.794999999999995e-06	8.829112e+00
9.796999999999996e-06	8.829069e+00
9.797999999999997e-06	8.829047e+00
9.799999999999998e-06	8.829003e+00
9.800999999999998e-06	8.828981e+00
9.801999999999999e-06	8.828985e+00
9.802099999999999e-06	8.828967e+00
9.802299999999999e-06	8.828955e+00
9.802599999999998e-06	8.828952e+00
9.802999999999999e-06	8.828947e+00
9.803039999999999e-06	8.828947e+00
9.803119999999999e-06	8.828947e+00
9.803280000000000e-06	8.828944e+00
9.803600000000000e-06	8.828939e+00
9.804087683248999e-06	8.828933e+00
9.804790791000246e-06	8.828934e+00
9.805710633615616e-06	8.828963e+00
9.806020189428912e-06	8.828995e+00
9.806206226654664e-06	8.829030e+00
9.806416871016914e-06	8.829074e+00
9.806575445399058e-06	8.829101e+00
9.806732580145347e-06	8.829118e+00
9.806942601435518e-06	8.829132e+00
9.807163203529109e-06	8.829137e+00
9.807513623986271e-06	8.829132e+00
9.807845617981141e-06	8.829121e+00
9.808438238334083e-06	8.829094e+00
9.809085967834934e-06	8.829063e+00
9.810304683285975e-06	8.829010e+00
9.811351720285071e-06	8.828990e+00
9.812235973505535e-06	8.829042e+00
9.813315689223102e-06	8.829196e+00
9.814307347564341e-06	8.829362e+00
9.815292122743296e-06	8.829501e+00
9.817056928269921e-06	8.829656e+00
9.820087082977045e-06	8.829722e+00
9.824049360933968e-06	8.829540e+00
9.828284512538056e-06	8.829082e+00
9.833849257399556e-06	8.828192e+00
9.839462990873417e-06	8.827022e+00
9.846815286828949e-06	8.825099e+00
9.854535980418242e-06	8.822557e+00
9.864314656526848e-06	8.818442e+00
9.873360645428154e-06	8.813372e+00
9.883966627758158e-06	8.805003e+00
9.894878360143183e-06	8.792151e+00
9.904751354716298e-06	8.772426e+00
9.915720422015637e-06	8.732919e+00
9.923261082948549e-06	8.680454e+00
9.929123573093269e-06	8.599911e+00
9.934398115177992e-06	8.472556e+00
9.940074743129474e-06	8.285439e+00
9.942889225332097e-06	8.184612e+00
9.946280545179192e-06	8.063783e+00
9.948669870597997e-06	7.979168e+00
9.951111980081327e-06	7.893113e+00
9.955996199047986e-06	7.722128e+00
9.960766613795600e-06	7.556156e+00
9.968384198437729e-06	7.292840e+00
9.975970352180123e-06	7.031898e+00
9.985706042546200e-06	6.697928e+00
9.996247825183534e-06	6.335310e+00
1.001059841303339e-05	5.833562e+00
1.002715330251537e-05	5.203055e+00
1.005219274423926e-05	4.036491e+00
1.006875768576962e-05	2.971476e+00
1.008594627934829e-05	1.527662e+00
1.009926613510416e-05	2.487192e-01
1.010508929872589e-05	-3.370094e-01
1.010770457311454e-05	-5.742865e-01
1.010899025608214e-05	-6.540451e-01
1.011025523983120e-05	-7.014513e-01
1.011152588028492e-05	-7.358789e-01
1.011284475138039e-05	-7.613487e-01
1.011490607693871e-05	-7.891617e-01
1.011698825489447e-05	-8.082409e-01
1.012015820976784e-05	-8.272285e-01
1.012418113727266e-05	-8.434114e-01
1.012985910953136e-05	-8.588352e-01
1.013603969243882e-05	-8.703747e-01
1.014468497847215e-05	-8.814640e-01
1.015435483176217e-05	-8.900461e-01
1.016742920086843e-05	-8.980026e-01
1.017961650156175e-05	-9.031458e-01
1.019405020727786e-05	-9.073362e-01
1.020911582340933e-05	-9.104004e-01
1.022574487422718e-05	-9.127445e-01
1.024338021161187e-05	-9.144611e-01
1.026377406241952e-05	-9.158096e-01
1.028629932607990e-05	-9.168167e-01
1.030877750868088e-05	-9.174948e-01
1.033528287125245e-05	-9.180336e-01
1.037293698589822e-05	-9.185553e-01
1.043092741433021e-05	-9.191360e-01
1.049330354097164e-05	-9.196415e-01
1.060880831484806e-05	-9.204922e-01
1.073619908504220e-05	-9.214096e-01
1.092863295063381e-05	-9.227839e-01
1.118071313611007e-05	-9.245720e-01
1.161394336752306e-05	-9.276114e-01
1.245037479118938e-05	-9.333658e-01
1.398393036532650e-05	-9.435930e-01
1.593705536532650e-05	-9.560747e-01
1.789018036532650e-05	-9.680719e-01
1.804787500000000e-05	-9.690104e-01
1.836326426934699e-05	-9.708443e-01
1.899404280804098e-05	-9.744864e-01
1.899504280804098e-05	-9.744892e-01
1.899704280804098e-05	-9.744968e-01
1.900104280804097e-05	-9.745207e-01
1.900587908529865e-05	-9.745483e-01
1.901555163981401e-05	-9.746037e-01
1.903489674884474e-05	-9.747133e-01
1.906840455073850e-05	-9.749041e-01
1.913542015452602e-05	-9.752846e-01
1.926945136210105e-05	-9.760418e-01
1.953751377725113e-05	-9.775562e-01
1.953851377725113e-05	-9.775591e-01
1.954051377725113e-05	-9.775658e-01
1.954451377725112e-05	-9.775896e-01
1.954911009851384e-05	-9.776154e-01
1.955830274103928e-05	-9.776669e-01
1.957668802609015e-05	-9.777699e-01
1.961091739208287e-05	-9.779615e-01
1.967937612406830e-05	-9.783430e-01
1.981629358803918e-05	-9.791012e-01
1.981729358803917e-05	-9.791088e-01
1.981929358803917e-05	-9.791231e-01
1.982329358803917e-05	-9.791441e-01
1.982804734186640e-05	-9.791708e-01
1.983755484952085e-05	-9.792233e-01
1.985656986482976e-05	-9.793291e-01
1.989459989544758e-05	-9.795389e-01
1.992493993876436e-05	-9.797068e-01
1.994031991336644e-05	-9.797916e-01
1.997107986257061e-05	-9.799585e-01
1.997207986257061e-05	-9.799652e-01
1.997407986257061e-05	-9.799795e-01
1.997807986257060e-05	-9.800005e-01
1.998298474773157e-05	-9.800282e-01
1.999119022967806e-05	-9.800758e-01
1.999219022967806e-05	-9.800806e-01
1.999419022967806e-05	-9.800892e-01
1.999700000000001e-05	-9.801035e-01
1.999800000000000e-05	-9.801111e-01
1.999900000000000e-05	-9.801159e-01
2.000000000000000e-05	-9.801216e-01
2.000100000000000e-05	-9.800596e-01
2.000100219940954e-05	-9.800673e-01
2.000100659822861e-05	-9.800797e-01
2.000101539586675e-05	-9.800987e-01
2.000102585795956e-05	-9.801111e-01
2.000104353808164e-05	-9.801216e-01
2.000107889832580e-05	-9.801273e-01
2.000114961881413e-05	-9.801311e-01
2.000126593149636e-05	-9.801378e-01
2.000141035250409e-05	-9.801521e-01
2.000160027974709e-05	-9.801779e-01
2.000177447409755e-05	-9.802103e-01
2.000200000000000e-05	-9.802599e-01
2.000202255259024e-05	-9.802656e-01
2.000206765777074e-05	-9.802761e-01
2.000215786813172e-05	-9.802952e-01
2.000233828885368e-05	-9.803267e-01
2.000265741867252e-05	-9.803667e-01
2.000299621231917e-05	-9.803934e-01
2.000332193919024e-05	-9.804096e-01
2.000365855134397e-05	-9.804211e-01
2.000423411341732e-05	-9.804392e-01
2.000481954014119e-05	-9.804716e-01
2.000541809363255e-05	-9.805431e-01
2.000601023817595e-05	-9.806595e-01
2.000654591698467e-05	-9.807911e-01
2.000721283553279e-05	-9.809647e-01
2.000831413751409e-05	-9.812403e-01
2.000965034371300e-05	-9.815369e-01
2.001182394421258e-05	-9.819469e-01
2.001342116065556e-05	-9.822083e-01
2.001492502422447e-05	-9.824266e-01
2.001669009903637e-05	-9.826632e-01
2.001802498466057e-05	-9.828310e-01
2.001897489396655e-05	-9.829407e-01
2.001966703145420e-05	-9.830122e-01
2.002045797744039e-05	-9.830866e-01
2.002140495562234e-05	-9.831705e-01
2.002220493421068e-05	-9.832373e-01
2.002291664871316e-05	-9.832926e-01
2.002379244359294e-05	-9.833527e-01
2.002468620581650e-05	-9.834099e-01
2.002571247580409e-05	-9.834709e-01
2.002690923549284e-05	-9.835358e-01
2.002930275487034e-05	-9.836502e-01
2.003299385162729e-05	-9.831829e-01
2.003904695225417e-05	-9.756851e-01
2.004242639783355e-05	-9.596786e-01
2.004523604987691e-05	-9.305811e-01
2.004934947610833e-05	-8.258247e-01
2.005319492098372e-05	1.711369e-02
2.005395224555233e-05	5.386314e-01
2.005451656523917e-05	7.017403e-01
2.005472027937445e-05	6.610241e-01
2.005489850685807e-05	6.641178e-01
2.005498508889755e-05	6.705151e-01
2.005504096963807e-05	6.745777e-01
2.005507744661132e-05	6.781063e-01
2.005510661083694e-05	6.812391e-01
2.005513719635047e-05	6.839800e-01
2.005516506432515e-05	6.870222e-01
2.005520080275137e-05	6.906939e-01
2.005524717477146e-05	6.958275e-01
2.005531524816923e-05	7.035332e-01
2.005543062486595e-05	7.171879e-01
2.005562256138206e-05	7.407885e-01
2.005598867495440e-05	7.871857e-01
2.005660246663937e-05	8.659430e-01
2.005783005000931e-05	1.022911e+00
2.005988851330222e-05	1.281322e+00
2.006400543988805e-05	1.775412e+00
2.007223929305971e-05	2.668233e+00
2.008398421383641e-05	3.703157e+00
2.010000413100660e-05	4.752104e+00
2.011753828615894e-05	5.645931e+00
2.013419328170648e-05	6.401315e+00
2.015679391821915e-05	7.366240e+00
2.018661890729136e-05	8.485210e+00
2.019375946066572e-05	8.633525e+00
2.020070761828290e-05	8.674299e+00
2.020403104832052e-05	8.685801e+00
2.020710203850721e-05	8.693454e+00
2.020929132406872e-05	8.697990e+00
2.021129130776691e-05	8.701602e+00
2.021332505700328e-05	8.704800e+00
2.021518475461214e-05	8.707464e+00
2.021727683836258e-05	8.710105e+00
2.021951141264710e-05	8.712671e+00
2.022213925289739e-05	8.715320e+00
2.022530244881488e-05	8.718131e+00
2.022931489195371e-05	8.721175e+00
2.023431482866914e-05	8.724343e+00
2.024144175682278e-05	8.727974e+00
2.024996013224277e-05	8.731257e+00
2.026699688308275e-05	8.735813e+00
2.028885160772843e-05	8.739553e+00
2.032243819491067e-05	8.742796e+00
2.036065511179863e-05	8.744743e+00
2.039968062113774e-05	8.745608e+00
2.044830933987456e-05	8.745854e+00
2.051101499438567e-05	8.745501e+00
2.058776039318394e-05	8.744542e+00
2.068581611474089e-05	8.742897e+00
2.081217145984108e-05	8.740472e+00
2.097801547183040e-05	8.737076e+00
2.122133607558134e-05	8.731943e+00
2.158452996837680e-05	8.724136e+00
2.221913475054507e-05	8.710158e+00
2.348834431488161e-05	8.681120e+00
2.544146931488161e-05	8.634171e+00
2.739459431488161e-05	8.585050e+00
2.784887500000000e-05	8.573160e+00
2.875743637023676e-05	8.548798e+00
2.875843637023676e-05	8.548771e+00
2.876043637023676e-05	8.548718e+00
2.876443637023675e-05	8.548609e+00
2.877194586955393e-05	8.548404e+00
2.878678494882594e-05	8.548000e+00
2.881646310736996e-05	8.547190e+00
2.887581942445801e-05	8.545568e+00
2.899453205863410e-05	8.542314e+00
2.923195732698628e-05	8.535783e+00
2.932714946329563e-05	8.533153e+00
2.951753373591434e-05	8.527875e+00
2.951853373591434e-05	8.527847e+00
2.952053373591434e-05	8.527790e+00
2.952453373591433e-05	8.527679e+00
2.953183046111705e-05	8.527476e+00
2.954642391152248e-05	8.527070e+00
2.957561081233334e-05	8.526257e+00
2.963398461395506e-05	8.524629e+00
2.968525239675656e-05	8.523198e+00
2.969946443439701e-05	8.522801e+00
2.972788850967792e-05	8.522006e+00
2.974515184943818e-05	8.521523e+00
2.976747332047946e-05	8.520899e+00
2.976847332047946e-05	8.520871e+00
2.977047332047946e-05	8.520814e+00
2.977447332047946e-05	8.520702e+00
2.978166474530127e-05	8.520501e+00
2.978761715035637e-05	8.520334e+00
2.979009518988978e-05	8.520264e+00
2.979505126895660e-05	8.520125e+00
2.979605126895660e-05	8.520097e+00
2.979805126895659e-05	8.520041e+00
2.979905126895659e-05	8.520014e+00
2.980000000000000e-05	8.519979e+00
2.980010253791318e-05	8.519980e+00
2.980030761373955e-05	8.519980e+00
2.980071776539229e-05	8.519967e+00
2.980122202439588e-05	8.519953e+00
2.980200000000000e-05	8.520053e+00
2.980207779756041e-05	8.519971e+00
2.980223339268123e-05	8.519926e+00
2.980254458292288e-05	8.519921e+00
2.980300000000000e-05	8.519910e+00
2.980304554170771e-05	8.519911e+00
2.980313662512313e-05	8.519911e+00
2.980331879195398e-05	8.519906e+00
2.980368312561567e-05	8.519898e+00
2.980418504452888e-05	8.519889e+00
2.980494892745860e-05	8.519886e+00
2.980559795909478e-05	8.519898e+00
2.980588907601108e-05	8.519918e+00
2.980607705637377e-05	8.519946e+00
2.980630957682881e-05	8.519993e+00
2.980645715032142e-05	8.520019e+00
2.980659941501862e-05	8.520038e+00
2.980677408094676e-05	8.520052e+00
2.980695758679369e-05	8.520058e+00
2.980722443610524e-05	8.520057e+00
2.980750609924114e-05	8.520046e+00
2.980796049830003e-05	8.520020e+00
2.980842840630704e-05	8.519988e+00
2.980936422232107e-05	8.519924e+00
2.981062064823105e-05	8.519847e+00
2.981165992487891e-05	8.519824e+00
2.981256691617938e-05	8.519877e+00
2.981340765316109e-05	8.519982e+00
2.981431231941836e-05	8.520097e+00
2.981532383506329e-05	8.520178e+00
2.981734686635313e-05	8.520207e+00
2.981981178461116e-05	8.520038e+00
2.982370292037867e-05	8.519422e+00
2.982792966924468e-05	8.518400e+00
2.983342777752661e-05	8.516639e+00
2.983896951509389e-05	8.514426e+00
2.984625330373296e-05	8.510862e+00
2.985383063726964e-05	8.506247e+00
2.986372021154430e-05	8.498591e+00
2.987281626603186e-05	8.488984e+00
2.988587119311674e-05	8.468700e+00
2.989826029579577e-05	8.437634e+00
2.990936113054522e-05	8.386027e+00
2.992035851297037e-05	8.286536e+00
2.992814782947188e-05	8.140335e+00
2.993684844612611e-05	7.879280e+00
2.994016976386695e-05	7.760559e+00
2.994328789803557e-05	7.645645e+00
2.994572766105193e-05	7.556221e+00
2.994810441002463e-05	7.469473e+00
2.995285790797002e-05	7.297131e+00
2.995822831869135e-05	7.103569e+00
2.996756778496889e-05	6.769148e+00
2.997803149027038e-05	6.396016e+00
2.999110279002354e-05	5.929155e+00
3.000719886572005e-05	5.339858e+00
3.002882852941548e-05	4.452019e+00
3.005133879980171e-05	3.264034e+00
3.006677244528640e-05	2.137228e+00
3.008252483990509e-05	7.016907e-01
3.008915317402240e-05	3.362751e-02
3.009336220766990e-05	-4.110413e-01
3.009567504336345e-05	-6.570663e-01
3.009705255722276e-05	-7.965994e-01
3.009775758274814e-05	-8.575630e-01
3.009842134430784e-05	-9.032936e-01
3.009913718335270e-05	-9.424067e-01
3.010013201881353e-05	-9.840202e-01
3.010160406431544e-05	-1.029748e+00
3.010340662349969e-05	-1.070283e+00
3.010532391285861e-05	-1.099860e+00
3.010824922396123e-05	-1.129444e+00
3.011097694714305e-05	-1.147204e+00
3.011518865146481e-05	-1.164571e+00
3.012068471207655e-05	-1.180028e+00
3.012640519684140e-05	-1.191073e+00
3.013463988764536e-05	-1.201997e+00
3.014505762321474e-05	-1.211589e+00
3.015684687501570e-05	-1.219044e+00
3.016945583949919e-05	-1.224535e+00
3.018365036535581e-05	-1.228828e+00
3.019873572519310e-05	-1.232011e+00
3.021571623140359e-05	-1.234488e+00
3.023542756892994e-05	-1.236426e+00
3.026314307287389e-05	-1.238218e+00
3.029101737317471e-05	-1.239399e+00
3.032233742677659e-05	-1.240283e+00
3.035871912244835e-05	-1.241032e+00
3.040666270036809e-05	-1.241822e+00
3.047122881768960e-05	-1.242764e+00
3.055802365639376e-05	-1.243963e+00
3.068950976710636e-05	-1.245753e+00
3.087217631490251e-05	-1.248224e+00
3.118660208982455e-05	-1.252454e+00
3.175676389610263e-05	-1.260038e+00
3.289708750865880e-05	-1.274908e+00
3.485021250865880e-05	-1.299656e+00
3.680333750865880e-05	-1.323596e+00
3.804787500000000e-05	-1.338431e+00
3.804887500000000e-05	-1.338443e+00
3.805087500000000e-05	-1.338465e+00
3.805487500000001e-05	-1.338511e+00
3.806060827185250e-05	-1.338578e+00
3.807207481555747e-05	-1.338712e+00
3.809500790296742e-05	-1.338979e+00
3.814087407778732e-05	-1.339511e+00
3.823260642742711e-05	-1.340573e+00
3.841607112670669e-05	-1.342690e+00
3.878300052526586e-05	-1.346896e+00
3.926714120288166e-05	-1.352413e+00
3.926814120288167e-05	-1.352425e+00
3.927014120288167e-05	-1.352448e+00
3.927414120288168e-05	-1.352493e+00
3.927967788554760e-05	-1.352556e+00
3.929075125087944e-05	-1.352681e+00
3.931289798154312e-05	-1.352931e+00
3.935719144287048e-05	-1.353432e+00
3.944577836552519e-05	-1.354429e+00
3.962295221083462e-05	-1.356421e+00
3.964665230938114e-05	-1.356687e+00
3.969405250647417e-05	-1.357218e+00
3.978885290066023e-05	-1.358278e+00
3.981139921162788e-05	-1.358530e+00
3.985649183356319e-05	-1.359034e+00
3.991081475612937e-05	-1.359640e+00
3.991181475612938e-05	-1.359651e+00
3.991381475612938e-05	-1.359673e+00
3.991781475612939e-05	-1.359717e+00
3.992322308820190e-05	-1.359777e+00
3.993403975234692e-05	-1.359898e+00
3.995567308063695e-05	-1.360139e+00
3.995773334341993e-05	-1.360162e+00
3.996185386898588e-05	-1.360208e+00
3.997009492011778e-05	-1.360299e+00
3.998589466660299e-05	-1.360476e+00
3.998689466660300e-05	-1.360487e+00
3.998889466660300e-05	-1.360508e+00
3.999289466660301e-05	-1.360553e+00
3.999571678560468e-05	-1.360584e+00
3.999671678560468e-05	-1.360596e+00
3.999871678560469e-05	-1.360618e+00
3.999971678560469e-05	-1.360627e+00
4.000000000000000e-05	-1.360631e+00
4.000043357120938e-05	-1.360634e+00
4.000050982397272e-05	-1.360636e+00
4.000061985541423e-05	-1.360639e+00
4.000068557780211e-05	-1.360640e+00
4.000074647758859e-05	-1.360640e+00
4.000079697851620e-05	-1.360641e+00
4.000084869641350e-05	-1.360641e+00
4.000089702421165e-05	-1.360641e+00
4.000094736947378e-05	-1.360642e+00
4.000100000000000e-05	-1.360643e+00
4.000100526305262e-05	-1.360643e+00
4.000101578915786e-05	-1.360643e+00
4.000102707554102e-05	-1.360643e+00
