time	V(n003)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-09	0.000000e+00
1.000825004921210e-09	1.237507e-02
1.002475014763629e-09	3.712522e-02
1.005775034448467e-09	8.662552e-02
1.012375073818143e-09	1.856261e-01
1.025575152557496e-09	3.836273e-01
1.051815498220012e-09	7.772325e-01
1.104296189545045e-09	1.564443e+00
1.171411375943149e-09	2.571171e+00
1.242704407820636e-09	3.640566e+00
1.301241658375867e-09	4.518625e+00
1.347814685008624e-09	5.217220e+00
1.392653200872010e-09	5.889798e+00
1.444770945364352e-09	6.671564e+00
1.501660325553555e-09	7.524905e+00
1.578122571663574e-09	8.671839e+00
1.664796964061149e-09	9.971954e+00
1.772766077391143e-09	1.159149e+01
1.877576711129452e-09	1.316365e+01
2.000000000000000e-09	1.500000e+01
2.036726986661165e-09	1.500000e+01
2.085696302209384e-09	1.500000e+01
2.183634933305823e-09	1.500000e+01
2.379512195498701e-09	1.500000e+01
2.656718966787458e-09	1.500000e+01
3.018929772512997e-09	1.500000e+01
3.462438388173968e-09	1.500000e+01
3.916526387588869e-09	1.500000e+01
4.410504452299411e-09	1.500000e+01
4.853430942256518e-09	1.500000e+01
5.370716662467427e-09	1.500000e+01
6.221944197282708e-09	1.500000e+01
7.221463920680565e-09	1.500000e+01
8.536244342012981e-09	1.500000e+01
9.983993076450770e-09	1.500000e+01
1.135227546025656e-08	1.500000e+01
1.273620818184546e-08	1.500000e+01
1.446346440644689e-08	1.500000e+01
1.593138023509290e-08	1.500000e+01
1.727560676298719e-08	1.500000e+01
1.820408949076984e-08	1.500000e+01
1.888603695677872e-08	1.500000e+01
1.966639432011607e-08	1.500000e+01
2.061905228488978e-08	1.500000e+01
2.138646396119874e-08	1.500000e+01
2.208788011517301e-08	1.500000e+01
2.296738880749440e-08	1.500000e+01
2.389986677260581e-08	1.500000e+01
2.490990270825492e-08	1.500000e+01
2.609316453221606e-08	1.500000e+01
2.845968818013835e-08	1.500000e+01
3.232893766506591e-08	1.500000e+01
3.555005818404190e-08	1.500000e+01
3.728875779875390e-08	1.500000e+01
3.833995841522723e-08	1.500000e+01
3.932497546608190e-08	1.500000e+01
4.043369037889822e-08	1.500000e+01
4.172025302331566e-08	1.500000e+01
4.218194204483551e-08	1.500000e+01
4.240037924539144e-08	1.500000e+01
4.263166984651485e-08	1.500000e+01
4.273806524869871e-08	1.500000e+01
4.288741220419542e-08	1.500000e+01
4.304257598323788e-08	1.500000e+01
4.323247085825047e-08	1.500000e+01
4.343793777675147e-08	1.500000e+01
4.363962512111788e-08	1.500000e+01
4.386667534376846e-08	1.500000e+01
4.426422131593783e-08	1.500000e+01
4.474392154128738e-08	1.500000e+01
4.552287186901507e-08	1.500000e+01
4.649054598410018e-08	1.500000e+01
4.815781377317184e-08	1.500000e+01
5.062231879687936e-08	1.500000e+01
5.544507580362059e-08	1.500000e+01
6.243580864386132e-08	1.500000e+01
6.875248988850056e-08	1.500000e+01
7.464973537364883e-08	1.500000e+01
8.116692811650944e-08	1.500000e+01
8.841124776604343e-08	1.500000e+01
9.863862773947899e-08	1.500000e+01
1.137333651965879e-07	1.500000e+01
1.319766690927556e-07	1.500000e+01
1.547771649003482e-07	1.500000e+01
1.659553137670691e-07	1.500000e+01
1.711142757278509e-07	1.500000e+01
1.730324007358082e-07	1.500000e+01
1.748729403363893e-07	1.500000e+01
1.754324808659833e-07	1.500000e+01
1.764908310312636e-07	1.500000e+01
1.780373672684309e-07	1.500000e+01
1.796679436761495e-07	1.500000e+01
1.819403836723491e-07	1.500000e+01
1.846825799392145e-07	1.500000e+01
1.877219292327531e-07	1.500000e+01
1.914624755179769e-07	1.500000e+01
1.956658047178503e-07	1.500000e+01
2.010926475683685e-07	1.500000e+01
2.068159691192661e-07	1.500000e+01
2.147417757812052e-07	1.500000e+01
