time	I(L1)
4.264199451831097e-08	-8.548506e-05
4.276601362165148e-08	-8.560083e-05
4.290589601663552e-08	-8.569888e-05
4.307672671906332e-08	-8.578159e-05
4.326202007152604e-08	-8.583238e-05
4.344850951597903e-08	-8.584644e-05
4.362893999397656e-08	-8.582186e-05
4.394636253057704e-08	-8.570903e-05
4.425025611102271e-08	-8.551527e-05
4.485804327191405e-08	-8.491667e-05
4.548335898135709e-08	-8.399714e-05
4.673399040024315e-08	-8.134050e-05
4.814376483428925e-08	-7.694631e-05
5.096331370238147e-08	-6.376708e-05
5.527833129495652e-08	-3.408270e-05
6.103887219749007e-08	2.239379e-05
6.801729439563940e-08	1.134411e-04
7.455982433995745e-08	2.196548e-04
8.104610327118707e-08	3.437034e-04
8.826545836422563e-08	5.005010e-04
9.826661997532977e-08	7.444475e-04
1.133132707326019e-07	1.156505e-03
1.314968562144039e-07	1.720059e-03
1.541489318829732e-07	2.503787e-03
1.661763000756570e-07	2.956198e-03
1.712594377776749e-07	3.157930e-03
1.732225509111428e-07	3.237465e-03
1.750308863955097e-07	3.311106e-03
1.756025095359932e-07	3.334405e-03
1.766674789990892e-07	3.377834e-03
1.781943716592566e-07	3.440119e-03
1.796933074174355e-07	3.501285e-03
1.822313359264849e-07	3.604885e-03
1.847392553067101e-07	3.707285e-03
1.881783889087511e-07	3.847738e-03
1.915382825718606e-07	3.984982e-03
1.964826265598445e-07	4.186979e-03
2.011440555727140e-07	4.377441e-03
2.082036022479744e-07	4.665917e-03
2.167260396740954e-07	5.014199e-03
2.302508675744246e-07	5.566943e-03
2.481415172729854e-07	6.298129e-03
2.773916470131230e-07	7.493550e-03
3.079170853240460e-07	8.741012e-03
3.454763076454795e-07	1.027576e-02
3.800596943182945e-07	1.168872e-02
4.308595009377307e-07	1.376386e-02
4.872882524055563e-07	1.606842e-02
5.659251545304054e-07	1.927901e-02
6.543697168139753e-07	2.288864e-02
7.820645259166047e-07	2.809758e-02
9.348290276055244e-07	3.432497e-02
1.166658564908966e-06	4.376644e-02
1.494079322679396e-06	5.708065e-02
2.115867719898775e-06	8.229654e-02
3.278088535130967e-06	1.292029e-01
5.231213535130967e-06	2.074870e-01
7.184338535130967e-06	2.852147e-01
7.848874999999997e-06	3.114861e-01
8.472927070261937e-06	3.360505e-01
8.715833437904479e-06	3.455825e-01
9.039708594761202e-06	3.582733e-01
9.154249686286553e-06	3.627565e-01
9.383331869337256e-06	3.717147e-01
9.384331869337257e-06	3.717538e-01
9.386331869337258e-06	3.718320e-01
9.390331869337260e-06	3.719882e-01
9.398331869337264e-06	3.723008e-01
9.414331869337272e-06	3.729259e-01
9.446331869337288e-06	3.741759e-01
9.510331869337320e-06	3.766750e-01
9.638331869337383e-06	3.816718e-01
9.639331869337384e-06	3.817108e-01
9.641331869337385e-06	3.817888e-01
9.645331869337387e-06	3.819449e-01
9.653331869337391e-06	3.822571e-01
9.669331869337399e-06	3.828813e-01
9.701331869337415e-06	3.841296e-01
9.737999999999967e-06	3.855598e-01
9.738999999999967e-06	3.855988e-01
9.740999999999968e-06	3.856768e-01
9.744999999999970e-06	3.858328e-01
9.752999999999974e-06	3.861448e-01
9.768999999999982e-06	3.867687e-01
9.769999999999983e-06	3.868077e-01
9.771999999999984e-06	3.868856e-01
9.775999999999986e-06	3.870416e-01
9.783999999999990e-06	3.873535e-01
9.789999999999993e-06	3.875875e-01
9.793999999999995e-06	3.877434e-01
9.794999999999995e-06	3.877824e-01
9.796999999999996e-06	3.878604e-01
9.797999999999997e-06	3.878993e-01
9.799999999999998e-06	3.879773e-01
9.800999999999998e-06	3.880163e-01
9.801999999999999e-06	3.880553e-01
9.802099999999999e-06	3.880592e-01
9.802299999999999e-06	3.880670e-01
9.802599999999998e-06	3.880787e-01
9.802999999999999e-06	3.880943e-01
9.803039999999999e-06	3.880958e-01
9.803119999999999e-06	3.880990e-01
9.803280000000000e-06	3.881052e-01
9.803600000000000e-06	3.881177e-01
9.804087683248999e-06	3.881367e-01
9.804790791000246e-06	3.881641e-01
9.805710633615616e-06	3.882000e-01
9.806020189428912e-06	3.882120e-01
9.806206226654664e-06	3.882193e-01
9.806416871016914e-06	3.882275e-01
9.806575445399058e-06	3.882337e-01
9.806732580145347e-06	3.882398e-01
9.806942601435518e-06	3.882480e-01
9.807163203529109e-06	3.882566e-01
9.807513623986271e-06	3.882702e-01
9.807845617981141e-06	3.882832e-01
9.808438238334083e-06	3.883063e-01
9.809085967834934e-06	3.883315e-01
9.810304683285975e-06	3.883790e-01
9.811351720285071e-06	3.884199e-01
9.812235973505535e-06	3.884543e-01
9.813315689223102e-06	3.884964e-01
9.814307347564341e-06	3.885351e-01
9.815292122743296e-06	3.885735e-01
9.817056928269921e-06	3.886423e-01
9.820087082977045e-06	3.887604e-01
9.824049360933968e-06	3.889149e-01
9.828284512538056e-06	3.890800e-01
9.833849257399556e-06	3.892969e-01
9.839462990873417e-06	3.895157e-01
9.846815286828949e-06	3.898022e-01
9.854535980418242e-06	3.901030e-01
9.864314656526848e-06	3.904837e-01
9.873360645428154e-06	3.908358e-01
9.883966627758158e-06	3.912482e-01
9.894878360143183e-06	3.916720e-01
9.904751354716298e-06	3.920546e-01
9.915720422015637e-06	3.924785e-01
9.923261082948549e-06	3.927684e-01
9.929123573093269e-06	3.929921e-01
9.934398115177992e-06	3.931906e-01
9.940074743129474e-06	3.934008e-01
9.942889225332097e-06	3.935031e-01
9.946280545179192e-06	3.936245e-01
9.948669870597997e-06	3.937089e-01
9.951111980081327e-06	3.937939e-01
9.955996199047986e-06	3.939611e-01
9.960766613795600e-06	3.941207e-01
9.968384198437729e-06	3.943681e-01
9.975970352180123e-06	3.946055e-01
9.985706042546200e-06	3.948969e-01
9.996247825183534e-06	3.951949e-01
1.001059841303339e-05	3.955716e-01
1.002715330251537e-05	3.959595e-01
1.005219274423926e-05	3.964588e-01
1.006875768576962e-05	3.967107e-01
1.008594627934829e-05	3.968723e-01
1.009926613510416e-05	3.969272e-01
1.010508929872589e-05	3.969263e-01
1.010770457311454e-05	3.969191e-01
1.010899025608214e-05	3.969142e-01
1.011025523983120e-05	3.969088e-01
1.011152588028492e-05	3.969032e-01
1.011284475138039e-05	3.968971e-01
1.011490607693871e-05	3.968874e-01
1.011698825489447e-05	3.968774e-01
1.012015820976784e-05	3.968619e-01
1.012418113727266e-05	3.968418e-01
1.012985910953136e-05	3.968132e-01
1.013603969243882e-05	3.967816e-01
1.014468497847215e-05	3.967370e-01
1.015435483176217e-05	3.966867e-01
1.016742920086843e-05	3.966182e-01
1.017961650156175e-05	3.965540e-01
1.019405020727786e-05	3.964777e-01
1.020911582340933e-05	3.963978e-01
1.022574487422718e-05	3.963094e-01
1.024338021161187e-05	3.962155e-01
1.026377406241952e-05	3.961068e-01
1.028629932607990e-05	3.959866e-01
1.030877750868088e-05	3.958666e-01
1.033528287125245e-05	3.957251e-01
1.037293698589822e-05	3.955238e-01
1.043092741433021e-05	3.952139e-01
1.049330354097164e-05	3.948804e-01
1.060880831484806e-05	3.942627e-01
1.073619908504220e-05	3.935811e-01
1.092863295063381e-05	3.925510e-01
1.118071313611007e-05	3.912005e-01
1.161394336752306e-05	3.888765e-01
1.245037479118938e-05	3.843799e-01
1.398393036532650e-05	3.761089e-01
1.593705536532650e-05	3.655338e-01
1.789018036532650e-05	3.549239e-01
1.804787500000000e-05	3.540652e-01
1.836326426934699e-05	3.523453e-01
1.899404280804098e-05	3.489035e-01
1.899504280804098e-05	3.488981e-01
1.899704280804098e-05	3.488871e-01
1.900104280804097e-05	3.488653e-01
1.900587908529865e-05	3.488389e-01
1.901555163981401e-05	3.487861e-01
1.903489674884474e-05	3.486804e-01
1.906840455073850e-05	3.484975e-01
1.913542015452602e-05	3.481314e-01
1.926945136210105e-05	3.473992e-01
1.953751377725113e-05	3.459346e-01
1.953851377725113e-05	3.459291e-01
1.954051377725113e-05	3.459182e-01
1.954451377725112e-05	3.458963e-01
1.954911009851384e-05	3.458712e-01
1.955830274103928e-05	3.458209e-01
1.957668802609015e-05	3.457204e-01
1.961091739208287e-05	3.455333e-01
1.967937612406830e-05	3.451591e-01
1.981629358803918e-05	3.444105e-01
1.981729358803917e-05	3.444051e-01
1.981929358803917e-05	3.443941e-01
1.982329358803917e-05	3.443723e-01
1.982804734186640e-05	3.443463e-01
1.983755484952085e-05	3.442943e-01
1.985656986482976e-05	3.441903e-01
1.989459989544758e-05	3.439823e-01
1.992493993876436e-05	3.438164e-01
1.994031991336644e-05	3.437323e-01
1.997107986257061e-05	3.435641e-01
1.997207986257061e-05	3.435586e-01
1.997407986257061e-05	3.435476e-01
1.997807986257060e-05	3.435258e-01
1.998298474773157e-05	3.434989e-01
1.999119022967806e-05	3.434541e-01
1.999219022967806e-05	3.434486e-01
1.999419022967806e-05	3.434376e-01
1.999700000000001e-05	3.434223e-01
1.999800000000000e-05	3.434168e-01
1.999900000000000e-05	3.434113e-01
2.000000000000000e-05	3.434059e-01
2.000100000000000e-05	3.434004e-01
2.000100219940954e-05	3.434004e-01
2.000100659822861e-05	3.434004e-01
2.000101539586675e-05	3.434003e-01
2.000102585795956e-05	3.434003e-01
2.000104353808164e-05	3.434002e-01
2.000107889832580e-05	3.434000e-01
2.000114961881413e-05	3.433996e-01
2.000126593149636e-05	3.433990e-01
2.000141035250409e-05	3.433982e-01
2.000160027974709e-05	3.433971e-01
2.000177447409755e-05	3.433962e-01
2.000200000000000e-05	3.433949e-01
2.000202255259024e-05	3.433948e-01
2.000206765777074e-05	3.433945e-01
2.000215786813172e-05	3.433941e-01
2.000233828885368e-05	3.433931e-01
2.000265741867252e-05	3.433913e-01
2.000299621231917e-05	3.433895e-01
2.000332193919024e-05	3.433877e-01
2.000365855134397e-05	3.433858e-01
2.000423411341732e-05	3.433827e-01
2.000481954014119e-05	3.433795e-01
2.000541809363255e-05	3.433762e-01
2.000601023817595e-05	3.433730e-01
2.000654591698467e-05	3.433701e-01
2.000721283553279e-05	3.433664e-01
2.000831413751409e-05	3.433604e-01
2.000965034371300e-05	3.433531e-01
2.001182394421258e-05	3.433412e-01
2.001342116065556e-05	3.433324e-01
2.001492502422447e-05	3.433242e-01
2.001669009903637e-05	3.433145e-01
2.001802498466057e-05	3.433072e-01
2.001897489396655e-05	3.433020e-01
2.001966703145420e-05	3.432982e-01
2.002045797744039e-05	3.432938e-01
2.002140495562234e-05	3.432887e-01
2.002220493421068e-05	3.432842e-01
2.002291664871316e-05	3.432803e-01
2.002379244359294e-05	3.432755e-01
2.002468620581650e-05	3.432707e-01
2.002571247580409e-05	3.432650e-01
2.002690923549284e-05	3.432585e-01
2.002930275487034e-05	3.432453e-01
2.003299385162729e-05	3.432251e-01
2.003904695225417e-05	3.431920e-01
2.004242639783355e-05	3.431737e-01
2.004523604987691e-05	3.431588e-01
2.004934947610833e-05	3.431382e-01
2.005319492098372e-05	3.431218e-01
2.005395224555233e-05	3.431208e-01
2.005451656523917e-05	3.431217e-01
2.005472027937445e-05	3.431222e-01
