time,IL1
2.000235845490966e-05,3.428205e-01
2.000266974785481e-05,3.428188e-01
2.000301372091745e-05,3.428169e-01
2.000333418746174e-05,3.428151e-01
2.000367913861455e-05,3.428132e-01
2.000426572981018e-05,3.428099e-01
2.000483560015155e-05,3.428068e-01
2.000544848937979e-05,3.428034e-01
2.000596970582616e-05,3.428005e-01
2.000652751907083e-05,3.427974e-01
2.000717333452857e-05,3.427938e-01
2.000831052046333e-05,3.427875e-01
2.000962125808238e-05,3.427803e-01
2.001180846082048e-05,3.427682e-01
2.001341649519377e-05,3.427593e-01
2.001491972590998e-05,3.427509e-01
2.001668343336958e-05,3.427411e-01
2.001801529033422e-05,3.427337e-01
2.001897010065476e-05,3.427284e-01
2.001966287286296e-05,3.427246e-01
2.002045554488418e-05,3.427202e-01
2.002139726323521e-05,3.427150e-01
2.002219531300519e-05,3.427106e-01
2.002290516203336e-05,3.427066e-01
2.002378215499420e-05,3.427018e-01
2.002468567863527e-05,3.426967e-01
2.002571096889045e-05,3.426910e-01
2.002690365914196e-05,3.426844e-01
2.002928903964497e-05,3.426712e-01
2.003298625285217e-05,3.426507e-01
2.003902224593932e-05,3.426173e-01
2.004240186587504e-05,3.425987e-01
2.004520836936342e-05,3.425837e-01
2.004932536396197e-05,3.425628e-01
2.005315587733312e-05,3.425461e-01
2.005391813638308e-05,3.425449e-01
2.005449392680072e-05,3.425458e-01
2.005469315262619e-05,3.425463e-01
2.005486763514859e-05,3.425466e-01
2.005495369316118e-05,3.425468e-01
2.005500980672115e-05,3.425469e-01
2.005504689783302e-05,3.425469e-01
2.005507683202724e-05,3.425470e-01
2.005510815922951e-05,3.425471e-01
2.005513694835766e-05,3.425471e-01
2.005517368416284e-05,3.425472e-01
2.005522118555846e-05,3.425473e-01
2.005529049248364e-05,3.425474e-01
2.005540642293965e-05,3.425477e-01
2.005559789763011e-05,3.425481e-01
2.005595570740230e-05,3.425490e-01
2.005656506887207e-05,3.425507e-01
2.005778379181161e-05,3.425548e-01
2.005985494263994e-05,3.425643e-01
2.006399724429660e-05,3.425920e-01
2.007228184760992e-05,3.426745e-01
2.008393121785095e-05,3.428395e-01
