time	V(N001,Vo)
1.957334600045861e-07	8.990963e+00
2.005465790385321e-07	8.992046e+00
2.095478747544258e-07	8.993361e+00
2.189835591362094e-07	8.994214e+00
2.373613386368496e-07	8.995109e+00
2.596846420208274e-07	8.995626e+00
2.960412261175341e-07	8.995882e+00
3.282844885652076e-07	8.995841e+00
3.645961624398152e-07	8.995616e+00
4.039200871244748e-07	8.995264e+00
4.643720627364947e-07	8.994609e+00
5.262299206849021e-07	8.993859e+00
6.168329284198198e-07	8.992677e+00
7.170152362729760e-07	8.991310e+00
8.703120357870453e-07	8.989152e+00
1.045560420447519e-06	8.986630e+00
1.356200612710670e-06	8.982063e+00
1.768579029120876e-06	8.975823e+00
2.593335861941287e-06	8.962702e+00
4.242849527582110e-06	8.934414e+00
6.502972668718353e-06	8.893088e+00
6.503972668718354e-06	8.893069e+00
6.505972668718355e-06	8.893030e+00
6.509972668718357e-06	8.892951e+00
6.517295561750172e-06	8.892806e+00
6.531941347813802e-06	8.892516e+00
6.561232919941063e-06	8.891936e+00
6.619816064195583e-06	8.890773e+00
6.736982352704624e-06	8.888434e+00
6.971314929722707e-06	8.883707e+00
7.439980083758872e-06	8.874061e+00
8.377310391831201e-06	8.854409e+00
8.378310391831202e-06	8.854387e+00
8.380310391831203e-06	8.854344e+00
8.384310391831205e-06	8.854258e+00
8.392310391831209e-06	8.854086e+00
8.408310391831217e-06	8.853741e+00
8.440310391831233e-06	8.853051e+00
8.504310391831265e-06	8.851667e+00
8.632310391831329e-06	8.848885e+00
8.888310391831456e-06	8.843270e+00
9.289999999999743e-06	8.834386e+00
9.290999999999744e-06	8.834363e+00
9.292999999999745e-06	8.834318e+00
9.296999999999747e-06	8.834229e+00
9.304999999999751e-06	8.834050e+00
9.320999999999759e-06	8.833692e+00
9.352999999999775e-06	8.832974e+00
9.416999999999807e-06	8.831536e+00
9.544999999999870e-06	8.828653e+00
9.545999999999871e-06	8.828631e+00
9.547999999999872e-06	8.828585e+00
9.551999999999874e-06	8.828495e+00
9.559999999999878e-06	8.828314e+00
9.575999999999886e-06	8.827952e+00
9.607999999999902e-06	8.827227e+00
9.671999999999934e-06	8.825775e+00
9.673999999999935e-06	8.825730e+00
9.677999999999937e-06	8.825639e+00
9.685999999999941e-06	8.825457e+00
9.701999999999949e-06	8.825094e+00
9.733999999999965e-06	8.824365e+00
9.745999999999971e-06	8.824092e+00
9.769999999999983e-06	8.823545e+00
9.785999999999991e-06	8.823180e+00
9.786999999999991e-06	8.823157e+00
9.788999999999992e-06	8.823112e+00
9.792999999999994e-06	8.823020e+00
9.793999999999995e-06	8.822998e+00
9.795999999999996e-06	8.822952e+00
9.797999999999997e-06	8.822906e+00
9.798999999999997e-06	8.822883e+00
9.799999999999998e-06	8.822860e+00
9.800999999999998e-06	8.822838e+00
9.801999999999999e-06	8.822780e+00
9.802099999999999e-06	8.822801e+00
9.802299999999999e-06	8.822810e+00
9.802599999999998e-06	8.822807e+00
9.802999999999999e-06	8.822803e+00
9.803039999999999e-06	8.822802e+00
9.803119999999999e-06	8.822801e+00
9.803280000000000e-06	8.822798e+00
9.803600000000000e-06	8.822792e+00
9.804087675517579e-06	8.822786e+00
9.804790791114542e-06	8.822787e+00
9.805710622068600e-06	8.822814e+00
9.806020179132901e-06	8.822846e+00
9.806206216694553e-06	8.822881e+00
9.806416861776838e-06	8.822925e+00
9.806575435949827e-06	8.822951e+00
9.806732570057923e-06	8.822969e+00
9.806942588564151e-06	8.822982e+00
9.807163187429891e-06	8.822987e+00
9.807513607114234e-06	8.822982e+00
9.807845594321021e-06	8.822970e+00
9.808438209782441e-06	8.822943e+00
9.809085919587168e-06	8.822911e+00
9.810304596549730e-06	8.822857e+00
9.811351647660807e-06	8.822836e+00
9.812235909122930e-06	8.822887e+00
9.813315666634344e-06	8.823040e+00
9.814307392385557e-06	8.823205e+00
9.815292118912169e-06	8.823343e+00
9.817056857644409e-06	8.823496e+00
9.820087303251401e-06	8.823559e+00
9.824049722577229e-06	8.823373e+00
9.828284878817167e-06	8.822911e+00
9.833849714401130e-06	8.822016e+00
9.839463475412558e-06	8.820840e+00
9.846815925896585e-06	8.818910e+00
9.854536650868904e-06	8.816361e+00
9.864315478244161e-06	8.812237e+00
9.873361379373214e-06	8.807159e+00
9.883967212792220e-06	8.798782e+00
9.894878955990863e-06	8.785923e+00
9.904751791940056e-06	8.766192e+00
9.915720925638449e-06	8.726685e+00
9.923261282439787e-06	8.674227e+00
9.929123323363063e-06	8.593707e+00
9.934396846945147e-06	8.466395e+00
9.940073064485856e-06	8.279301e+00
9.942888218945794e-06	8.178449e+00
9.946279829129592e-06	8.057606e+00
9.948668563689214e-06	7.973012e+00
9.951111063904528e-06	7.886941e+00
9.955996064335154e-06	7.715926e+00
9.960767975612822e-06	7.549899e+00
9.968380995854987e-06	7.286738e+00
